"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"605","57",2005,685536,"Total","55-59","15-64"
"606","58",2005,733184,"Total","55-59","15-64"
"607","59",2005,586025,"Total","55-59","15-64"
"608","60",2005,571335,"Total","60-64","15-64"
"609","61",2005,562455,"Total","60-64","15-64"
"610","62",2005,533152,"Total","60-64","15-64"
"611","63",2005,478957,"Total","60-64","15-64"
"612","64",2005,443865,"Total","60-64","15-64"
"613","65",2005,463364,"Total","65-69","65+"
"614","66",2005,462985,"Total","65-69","65+"
"615","67",2005,455864,"Total","65-69","65+"
"616","68",2005,440767,"Total","65-69","65+"
"617","69",2005,425531,"Total","65-69","65+"
"618","70",2005,410500,"Total","70-74","65+"
"619","71",2005,389705,"Total","70-74","65+"
"620","72",2005,382659,"Total","70-74","65+"
"621","73",2005,380378,"Total","70-74","65+"
"622","74",2005,374394,"Total","70-74","65+"
"623","75",2005,359766,"Total","75-79","65+"
"624","76",2005,339391,"Total","75-79","65+"
"625","77",2005,320205,"Total","75-79","65+"
"626","78",2005,307929,"Total","75-79","65+"
"627","79",2005,292956,"Total","75-79","65+"
"628","80",2005,275169,"Total","80-84","65+"
"629","81",2005,258609,"Total","80-84","65+"
"630","82",2005,243045,"Total","80-84","65+"
"631","83",2005,234125,"Total","80-84","65+"
"632","84",2005,223963,"Total","80-84","65+"
"633","85",2005,198107,"Total","85-89","65+"
"634","86",2005,140498,"Total","85-89","65+"
"635","87",2005,103087,"Total","85-89","65+"
"636","88",2005,100105,"Total","85-89","65+"
"637","89",2005,89456,"Total","85-89","65+"
"638",NA,2005,355451,"Total",NA,NA
"639","0",2006,622805,"Total","0-4","0-14"
"640","1",2006,606029,"Total","0-4","0-14"
"641","2",2006,596170,"Total","0-4","0-14"
"642","3",2006,576028,"Total","0-4","0-14"
"643","4",2006,562083,"Total","0-4","0-14"
"644","5",2006,568461,"Total","5-9","0-14"
"645","6",2006,582924,"Total","5-9","0-14"
"646","7",2006,600295,"Total","5-9","0-14"
"647","8",2006,609683,"Total","5-9","0-14"
"648","9",2006,625740,"Total","5-9","0-14"
"649","10",2006,623261,"Total","10-14","0-14"
"650","11",2006,622895,"Total","10-14","0-14"
"651","12",2006,638428,"Total","10-14","0-14"
"652","13",2006,640160,"Total","10-14","0-14"
"653","14",2006,657231,"Total","10-14","0-14"
"654","15",2006,670744,"Total","15-19","15-64"
"655","16",2006,655753,"Total","15-19","15-64"
"656","17",2006,651137,"Total","15-19","15-64"
"657","18",2006,661906,"Total","15-19","15-64"
"658","19",2006,651489,"Total","15-19","15-64"
"659","20",2006,660461,"Total","20-24","15-64"
"660","21",2006,676690,"Total","20-24","15-64"
"661","22",2006,669005,"Total","20-24","15-64"
"662","23",2006,672195,"Total","20-24","15-64"
"663","24",2006,676996,"Total","20-24","15-64"
"664","25",2006,695307,"Total","25-29","15-64"
"665","26",2006,700762,"Total","25-29","15-64"
"666","27",2006,673249,"Total","25-29","15-64"
"667","28",2006,637635,"Total","25-29","15-64"
"668","29",2006,637572,"Total","25-29","15-64"
"669","30",2006,652469,"Total","30-34","15-64"
"670","31",2006,668962,"Total","30-34","15-64"
"671","32",2006,683634,"Total","30-34","15-64"
"672","33",2006,717809,"Total","30-34","15-64"
"673","34",2006,747997,"Total","30-34","15-64"
"674","35",2006,770690,"Total","35-39","15-64"
"675","36",2006,759374,"Total","35-39","15-64"
"676","37",2006,778327,"Total","35-39","15-64"
"677","38",2006,782627,"Total","35-39","15-64"
"678","39",2006,798367,"Total","35-39","15-64"
"679","40",2006,797231,"Total","40-44","15-64"
"680","41",2006,798951,"Total","40-44","15-64"
"681","42",2006,790172,"Total","40-44","15-64"
"682","43",2006,774066,"Total","40-44","15-64"
"683","44",2006,757409,"Total","40-44","15-64"
"684","45",2006,734966,"Total","45-49","15-64"
"685","46",2006,706645,"Total","45-49","15-64"
"686","47",2006,692441,"Total","45-49","15-64"
"687","48",2006,680085,"Total","45-49","15-64"
"688","49",2006,653741,"Total","45-49","15-64"
"689","50",2006,631231,"Total","50-54","15-64"
"690","51",2006,612050,"Total","50-54","15-64"
"691","52",2006,614887,"Total","50-54","15-64"
"692","53",2006,609201,"Total","50-54","15-64"
"693","54",2006,599663,"Total","50-54","15-64"
"694","55",2006,603791,"Total","55-59","15-64"
"695","56",2006,619350,"Total","55-59","15-64"
"696","57",2006,638471,"Total","55-59","15-64"
"697","58",2006,680486,"Total","55-59","15-64"
"698","59",2006,730216,"Total","55-59","15-64"
"699","60",2006,579584,"Total","60-64","15-64"
"700","61",2006,564852,"Total","60-64","15-64"
"701","62",2006,557605,"Total","60-64","15-64"
"702","63",2006,527075,"Total","60-64","15-64"
"703","64",2006,473187,"Total","60-64","15-64"
"704","65",2006,435523,"Total","65-69","65+"
"705","66",2006,455545,"Total","65-69","65+"
"706","67",2006,454725,"Total","65-69","65+"
"707","68",2006,447421,"Total","65-69","65+"
"708","69",2006,431829,"Total","65-69","65+"
"709","70",2006,416695,"Total","70-74","65+"
"710","71",2006,401431,"Total","70-74","65+"
"711","72",2006,380094,"Total","70-74","65+"
"712","73",2006,371897,"Total","70-74","65+"
"713","74",2006,369093,"Total","70-74","65+"
"714","75",2006,362127,"Total","75-79","65+"
"715","76",2006,346871,"Total","75-79","65+"
"716","77",2006,325777,"Total","75-79","65+"
"717","78",2006,305750,"Total","75-79","65+"
"718","79",2006,292676,"Total","75-79","65+"
"719","80",2006,277123,"Total","80-84","65+"
"720","81",2006,258574,"Total","80-84","65+"
"721","82",2006,241289,"Total","80-84","65+"
"722","83",2006,225329,"Total","80-84","65+"
"723","84",2006,214767,"Total","80-84","65+"
"724","85",2006,203169,"Total","85-89","65+"
"725","86",2006,176896,"Total","85-89","65+"
"726","87",2006,126393,"Total","85-89","65+"
"727","88",2006,90047,"Total","85-89","65+"
"728","89",2006,86262,"Total","85-89","65+"
"729",NA,2006,357177,"Total",NA,NA
"730","0",2007,642603,"Total","0-4","0-14"
"731","1",2007,625519,"Total","0-4","0-14"
"732","2",2007,606917,"Total","0-4","0-14"
"733","3",2007,596871,"Total","0-4","0-14"
"734","4",2007,577110,"Total","0-4","0-14"
"735","5",2007,563399,"Total","5-9","0-14"
"736","6",2007,571289,"Total","5-9","0-14"
"737","7",2007,586109,"Total","5-9","0-14"
"738","8",2007,603863,"Total","5-9","0-14"
"739","9",2007,612837,"Total","5-9","0-14"
"740","10",2007,629615,"Total","10-14","0-14"
"741","11",2007,627118,"Total","10-14","0-14"
"742","12",2007,626071,"Total","10-14","0-14"
"743","13",2007,642238,"Total","10-14","0-14"
"744","14",2007,642426,"Total","10-14","0-14"
"745","15",2007,661568,"Total","15-19","15-64"
"746","16",2007,676298,"Total","15-19","15-64"
"747","17",2007,660933,"Total","15-19","15-64"
"748","18",2007,659283,"Total","15-19","15-64"
"749","19",2007,674484,"Total","15-19","15-64"
"750","20",2007,661604,"Total","20-24","15-64"
"751","21",2007,676793,"Total","20-24","15-64"
"752","22",2007,696334,"Total","20-24","15-64"
"753","23",2007,689366,"Total","20-24","15-64"
"754","24",2007,695019,"Total","20-24","15-64"
"755","25",2007,694018,"Total","25-29","15-64"
"756","26",2007,711238,"Total","25-29","15-64"
"757","27",2007,716409,"Total","25-29","15-64"
"758","28",2007,688237,"Total","25-29","15-64"
"759","29",2007,649216,"Total","25-29","15-64"
"760","30",2007,640284,"Total","30-34","15-64"
"761","31",2007,654716,"Total","30-34","15-64"
"762","32",2007,670766,"Total","30-34","15-64"
"763","33",2007,684917,"Total","30-34","15-64"
"764","34",2007,718938,"Total","30-34","15-64"
"765","35",2007,751774,"Total","35-39","15-64"
"766","36",2007,774493,"Total","35-39","15-64"
"767","37",2007,762008,"Total","35-39","15-64"
"768","38",2007,780268,"Total","35-39","15-64"
"769","39",2007,783748,"Total","35-39","15-64"
"770","40",2007,798042,"Total","40-44","15-64"
"771","41",2007,797025,"Total","40-44","15-64"
"772","42",2007,798830,"Total","40-44","15-64"
"773","43",2007,790147,"Total","40-44","15-64"
"774","44",2007,773981,"Total","40-44","15-64"
"775","45",2007,755118,"Total","45-49","15-64"
"776","46",2007,732169,"Total","45-49","15-64"
"777","47",2007,704106,"Total","45-49","15-64"
"778","48",2007,689634,"Total","45-49","15-64"
"779","49",2007,676990,"Total","45-49","15-64"
"780","50",2007,651297,"Total","50-54","15-64"
"781","51",2007,628945,"Total","50-54","15-64"
"782","52",2007,609124,"Total","50-54","15-64"
"783","53",2007,612044,"Total","50-54","15-64"
"784","54",2007,606779,"Total","50-54","15-64"
"785","55",2007,596103,"Total","55-59","15-64"
"786","56",2007,600328,"Total","55-59","15-64"
"787","57",2007,615591,"Total","55-59","15-64"
"788","58",2007,634190,"Total","55-59","15-64"
"789","59",2007,674871,"Total","55-59","15-64"
"790","60",2007,724121,"Total","60-64","15-64"
"791","61",2007,571596,"Total","60-64","15-64"
"792","62",2007,557174,"Total","60-64","15-64"
"793","63",2007,551291,"Total","60-64","15-64"
"794","64",2007,519732,"Total","60-64","15-64"
"795","65",2007,466875,"Total","65-69","65+"
"796","66",2007,428632,"Total","65-69","65+"
"797","67",2007,448203,"Total","65-69","65+"
"798","68",2007,447360,"Total","65-69","65+"
"799","69",2007,439351,"Total","65-69","65+"
"800","70",2007,423642,"Total","70-74","65+"
"801","71",2007,408040,"Total","70-74","65+"
"802","72",2007,392557,"Total","70-74","65+"
"803","73",2007,370667,"Total","70-74","65+"
"804","74",2007,361340,"Total","70-74","65+"
"805","75",2007,357959,"Total","75-79","65+"
"806","76",2007,349623,"Total","75-79","65+"
"807","77",2007,333794,"Total","75-79","65+"
"808","78",2007,311924,"Total","75-79","65+"
"809","79",2007,291377,"Total","75-79","65+"
"810","80",2007,277006,"Total","80-84","65+"
"811","81",2007,260900,"Total","80-84","65+"
"812","82",2007,241628,"Total","80-84","65+"
