"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"813","83",2007,224069,"Total","80-84","65+"
"814","84",2007,207387,"Total","80-84","65+"
"815","85",2007,195727,"Total","85-89","65+"
"816","86",2007,182561,"Total","85-89","65+"
"817","87",2007,156093,"Total","85-89","65+"
"818","88",2007,113191,"Total","85-89","65+"
"819","89",2007,77687,"Total","85-89","65+"
"820",NA,2007,357575,"Total",NA,NA
"821","0",2008,667840,"Total","0-4","0-14"
"822","1",2008,642968,"Total","0-4","0-14"
"823","2",2008,628030,"Total","0-4","0-14"
"824","3",2008,607109,"Total","0-4","0-14"
"825","4",2008,596758,"Total","0-4","0-14"
"826","5",2008,577429,"Total","5-9","0-14"
"827","6",2008,564338,"Total","5-9","0-14"
"828","7",2008,574056,"Total","5-9","0-14"
"829","8",2008,589158,"Total","5-9","0-14"
"830","9",2008,607073,"Total","5-9","0-14"
"831","10",2008,615251,"Total","10-14","0-14"
"832","11",2008,632265,"Total","10-14","0-14"
"833","12",2008,629903,"Total","10-14","0-14"
"834","13",2008,628463,"Total","10-14","0-14"
"835","14",2008,644860,"Total","10-14","0-14"
"836","15",2008,647366,"Total","15-19","15-64"
"837","16",2008,667013,"Total","15-19","15-64"
"838","17",2008,682497,"Total","15-19","15-64"
"839","18",2008,669058,"Total","15-19","15-64"
"840","19",2008,671235,"Total","15-19","15-64"
"841","20",2008,682677,"Total","20-24","15-64"
"842","21",2008,673354,"Total","20-24","15-64"
"843","22",2008,692690,"Total","20-24","15-64"
"844","23",2008,711948,"Total","20-24","15-64"
"845","24",2008,704736,"Total","20-24","15-64"
"846","25",2008,706740,"Total","25-29","15-64"
"847","26",2008,706571,"Total","25-29","15-64"
"848","27",2008,722727,"Total","25-29","15-64"
"849","28",2008,728572,"Total","25-29","15-64"
"850","29",2008,699436,"Total","25-29","15-64"
"851","30",2008,658120,"Total","30-34","15-64"
"852","31",2008,647908,"Total","30-34","15-64"
"853","32",2008,661884,"Total","30-34","15-64"
"854","33",2008,676727,"Total","30-34","15-64"
"855","34",2008,690266,"Total","30-34","15-64"
"856","35",2008,721128,"Total","35-39","15-64"
"857","36",2008,753134,"Total","35-39","15-64"
"858","37",2008,776715,"Total","35-39","15-64"
"859","38",2008,762872,"Total","35-39","15-64"
"860","39",2008,780683,"Total","35-39","15-64"
"861","40",2008,781558,"Total","40-44","15-64"
"862","41",2008,795176,"Total","40-44","15-64"
"863","42",2008,794225,"Total","40-44","15-64"
"864","43",2008,796317,"Total","40-44","15-64"
"865","44",2008,788196,"Total","40-44","15-64"
"866","45",2008,772995,"Total","45-49","15-64"
"867","46",2008,754697,"Total","45-49","15-64"
"868","47",2008,731051,"Total","45-49","15-64"
"869","48",2008,703178,"Total","45-49","15-64"
"870","49",2008,688599,"Total","45-49","15-64"
"871","50",2008,675850,"Total","50-54","15-64"
"872","51",2008,650546,"Total","50-54","15-64"
"873","52",2008,628438,"Total","50-54","15-64"
"874","53",2008,607793,"Total","50-54","15-64"
"875","54",2008,610722,"Total","50-54","15-64"
"876","55",2008,603081,"Total","55-59","15-64"
"877","56",2008,591226,"Total","55-59","15-64"
"878","57",2008,595777,"Total","55-59","15-64"
"879","58",2008,610853,"Total","55-59","15-64"
"880","59",2008,628757,"Total","55-59","15-64"
"881","60",2008,669571,"Total","60-64","15-64"
"882","61",2008,720854,"Total","60-64","15-64"
"883","62",2008,566122,"Total","60-64","15-64"
"884","63",2008,551714,"Total","60-64","15-64"
"885","64",2008,547018,"Total","60-64","15-64"
"886","65",2008,514758,"Total","65-69","65+"
"887","66",2008,461965,"Total","65-69","65+"
"888","67",2008,422664,"Total","65-69","65+"
"889","68",2008,441885,"Total","65-69","65+"
"890","69",2008,440593,"Total","65-69","65+"
"891","70",2008,431893,"Total","70-74","65+"
"892","71",2008,415560,"Total","70-74","65+"
"893","72",2008,399592,"Total","70-74","65+"
"894","73",2008,383708,"Total","70-74","65+"
"895","74",2008,361230,"Total","70-74","65+"
"896","75",2008,350622,"Total","75-79","65+"
"897","76",2008,346458,"Total","75-79","65+"
"898","77",2008,336963,"Total","75-79","65+"
"899","78",2008,320317,"Total","75-79","65+"
"900","79",2008,297842,"Total","75-79","65+"
"901","80",2008,276465,"Total","80-84","65+"
"902","81",2008,260970,"Total","80-84","65+"
"903","82",2008,243979,"Total","80-84","65+"
"904","83",2008,224452,"Total","80-84","65+"
"905","84",2008,206451,"Total","80-84","65+"
"906","85",2008,189325,"Total","85-89","65+"
"907","86",2008,176676,"Total","85-89","65+"
"908","87",2008,162598,"Total","85-89","65+"
"909","88",2008,135494,"Total","85-89","65+"
"910","89",2008,100172,"Total","85-89","65+"
"911",NA,2008,347349,"Total",NA,NA
"912","0",2009,662806,"Total","0-4","0-14"
"913","1",2009,667271,"Total","0-4","0-14"
"914","2",2009,643986,"Total","0-4","0-14"
"915","3",2009,630621,"Total","0-4","0-14"
"916","4",2009,607221,"Total","0-4","0-14"
"917","5",2009,597452,"Total","5-9","0-14"
"918","6",2009,578513,"Total","5-9","0-14"
"919","7",2009,566002,"Total","5-9","0-14"
"920","8",2009,577340,"Total","5-9","0-14"
"921","9",2009,592465,"Total","5-9","0-14"
"922","10",2009,610274,"Total","10-14","0-14"
"923","11",2009,618336,"Total","10-14","0-14"
"924","12",2009,635554,"Total","10-14","0-14"
"925","13",2009,633426,"Total","10-14","0-14"
"926","14",2009,631249,"Total","10-14","0-14"
"927","15",2009,651381,"Total","15-19","15-64"
